web-scraper-order	web-scraper-start-url	Date	Open	High	Low	Close	Volume	Market Cap
1522067380-216	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	8-Feb-18	"7,637.86"	"8,558.77"	"7,637.86"	"8,265.59"	"9,346,750,000"	"128,714,000,000"
1522067380-160	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	7-Feb-18	"7,755.49"	"8,509.11"	"7,236.79"	"7,621.30"	"9,169,280,000"	"130,683,000,000"
1522067380-198	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	6-Feb-18	"7,051.75"	"7,850.70"	"6,048.26"	"7,754.00"	"13,999,800,000"	"118,810,000,000"
1522067380-191	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	5-Feb-18	"8,270.54"	"8,364.84"	"6,756.68"	"6,955.27"	"9,285,290,000"	"139,325,000,000"
1522067380-184	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	4-Feb-18	"9,175.70"	"9,334.87"	"8,031.22"	"8,277.01"	"7,073,550,000"	"154,553,000,000"
1522067380-196	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	3-Feb-18	"8,852.12"	"9,430.75"	"8,251.63"	"9,174.91"	"7,263,790,000"	"149,085,000,000"
1522067380-172	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	2-Feb-18	"9,142.28"	"9,142.28"	"7,796.49"	"8,830.75"	"12,726,900,000"	"153,953,000,000"
1522067380-195	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	1-Feb-18	"10,237.30"	"10,288.80"	"8,812.28"	"9,170.54"	"9,959,400,000"	"172,372,000,000"
1522067380-178	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	31-Jan-18	"10,108.20"	"10,381.60"	"9,777.42"	"10,221.10"	"8,041,160,000"	"170,183,000,000"
1522067380-204	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	30-Jan-18	"11,306.80"	"11,307.20"	"10,036.20"	"10,106.30"	"8,637,860,000"	"190,339,000,000"
